Analysis Type:	PANTHER Enrichment Test (release 20220712)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	alert.range.index.txt (Homo sapiens)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
GO molecular function complete	number	overUnder	pvalue	fdr
NuRD complex binding (GO:0120325)	4	-	4.54E-02	6.32E-01
peptide YY receptor activity (GO:0001601)	3	-	4.54E-02	6.30E-01
oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor (GO:0016634)	9	-	4.56E-02	6.30E-01
adenine nucleotide transmembrane transporter activity (GO:0000295)	16	+	4.58E-02	6.31E-01
purine ribonucleotide transmembrane transporter activity (GO:0005346)	16	+	4.58E-02	6.29E-01
arachidonate 5-lipoxygenase activity (GO:0004051)	2	-	4.59E-02	6.28E-01
EH domain binding (GO:1990175)	2	+	4.63E-02	6.32E-01
G-protein beta/gamma-subunit complex binding (GO:0031683)	18	-	4.66E-02	6.35E-01
phosphatidylcholine-sterol O-acyltransferase activator activity (GO:0060228)	3	-	4.69E-02	6.38E-01
nucleoside triphosphate adenylate kinase activity (GO:0046899)	2	-	4.73E-02	6.41E-01
pancreatic polypeptide receptor activity (GO:0001602)	3	-	4.73E-02	6.39E-01
cation channel activity (GO:0005261)	266	+	4.74E-02	6.39E-01
oxidoreductase activity, acting on the CH-NH group of donors, flavin as acceptor (GO:0046997)	2	-	4.79E-02	6.44E-01
type 1 fibroblast growth factor receptor binding (GO:0005105)	5	+	4.79E-02	6.42E-01
nitrite reductase activity (GO:0098809)	4	-	4.81E-02	6.43E-01
chemoattractant activity (GO:0042056)	18	-	4.82E-02	6.42E-01
sodium:phosphate symporter activity (GO:0005436)	8	+	4.84E-02	6.42E-01
CCR4-NOT complex binding (GO:1905762)	3	+	4.86E-02	6.44E-01
scavenger receptor activity (GO:0005044)	32	-	4.87E-02	6.43E-01
angiotensin receptor binding (GO:0031701)	7	-	4.88E-02	6.42E-01
acetylglucosaminyltransferase activity (GO:0008375)	36	-	4.88E-02	6.41E-01
identical protein binding (GO:0042802)	1767	-	4.89E-02	6.40E-01
poly(U) RNA binding (GO:0008266)	24	+	4.92E-02	6.42E-01
heparan sulfate proteoglycan binding (GO:0043395)	15	-	4.94E-02	6.42E-01
fibroblast growth factor receptor binding (GO:0005104)	14	+	4.95E-02	6.43E-01
oligopeptidase activity (GO:0070012)	2	+	4.96E-02	6.42E-01
armadillo repeat domain binding (GO:0070016)	10	+	4.98E-02	6.43E-01
beta-galactosyl-N-acetylglucosaminylgalactosylglucosyl-ceramide beta-1,3-acetylglucosaminyltransferase activity (GO:0008457)	3	-	4.98E-02	6.41E-01
CTPase activity (GO:0043273)	3	+	5.02E-02	6.44E-01
chromatin DNA binding (GO:0031490)	90	+	5.03E-02	6.44E-01
ceramide kinase activity (GO:0001729)	2	+	5.03E-02	6.42E-01
dihydroceramide kinase activity (GO:0102773)	2	+	5.03E-02	6.40E-01
intracellular cGMP-activated cation channel activity (GO:0005223)	2	-	5.04E-02	6.40E-01
protein-lysine 6-oxidase activity (GO:0004720)	3	-	5.06E-02	6.41E-01
chloride channel activity (GO:0005254)	59	-	5.07E-02	6.41E-01
exoribonuclease activity, producing 5'-phosphomonoesters (GO:0016896)	38	+	5.08E-02	6.39E-01
protein serine/threonine phosphatase activity (GO:0004722)	93	+	5.09E-02	6.39E-01
phosphorylation-dependent protein binding (GO:0140031)	5	-	5.09E-02	6.38E-01
ribonuclease activity (GO:0004540)	97	+	5.10E-02	6.37E-01
histone methyltransferase activity (H3-K36 specific) (GO:0046975)	9	+	5.14E-02	6.40E-01
carbohydrate:cation symporter activity (GO:0005402)	11	+	5.16E-02	6.41E-01
nucleotide receptor activity (GO:0016502)	15	-	5.20E-02	6.44E-01
purinergic nucleotide receptor activity (GO:0001614)	15	-	5.20E-02	6.43E-01
deubiquitinase activity (GO:0101005)	87	+	5.26E-02	6.48E-01
CX3C chemokine receptor binding (GO:0031737)	2	-	5.29E-02	6.51E-01
myosin heavy chain binding (GO:0032036)	13	-	5.35E-02	6.56E-01
pyrroline-5-carboxylate reductase activity (GO:0004735)	3	-	5.36E-02	6.55E-01
SAM domain binding (GO:0032093)	2	-	5.37E-02	6.54E-01
organic acid binding (GO:0043177)	106	-	5.40E-02	6.56E-01
beta-2-microglobulin binding (GO:0030881)	2	-	5.40E-02	6.55E-01
eukaryotic initiation factor eIF2 binding (GO:0071074)	3	+	5.42E-02	6.56E-01
long-chain fatty acyl-CoA binding (GO:0036042)	5	-	5.50E-02	6.63E-01
POZ domain binding (GO:0031208)	2	+	5.53E-02	6.66E-01
interleukin-6 binding (GO:0019981)	2	+	5.55E-02	6.66E-01
interleukin-6 receptor activity (GO:0004915)	2	+	5.55E-02	6.64E-01
carbohydrate derivative transmembrane transporter activity (GO:1901505)	40	+	5.55E-02	6.63E-01
polyamine oxidase activity (GO:0046592)	3	-	5.58E-02	6.65E-01
L-glutamate transmembrane transporter activity (GO:0005313)	14	-	5.62E-02	6.68E-01
apolipoprotein binding (GO:0034185)	18	-	5.65E-02	6.69E-01
MRF binding (GO:0043426)	4	+	5.65E-02	6.68E-01
G-protein beta-subunit binding (GO:0031681)	19	-	5.66E-02	6.67E-01
endopeptidase activator activity (GO:0061133)	11	-	5.69E-02	6.69E-01
phosphotransferase activity, paired acceptors (GO:0016781)	2	+	5.69E-02	6.68E-01
selenide, water dikinase activity (GO:0004756)	2	+	5.69E-02	6.66E-01
glycogen binding (GO:2001069)	8	+	5.71E-02	6.66E-01
lyase activity (GO:0016829)	167	-	5.72E-02	6.66E-01
norepinephrine binding (GO:0051380)	3	-	5.75E-02	6.68E-01
C-methyltransferase activity (GO:0008169)	7	+	5.76E-02	6.67E-01
[pyruvate dehydrogenase (lipoamide)] phosphatase activity (GO:0004741)	2	+	5.81E-02	6.71E-01
hypoglycin A gamma-glutamyl transpeptidase activity (GO:0102953)	5	+	5.83E-02	6.72E-01
leukotriene C4 gamma-glutamyl transferase activity (GO:0103068)	5	+	5.83E-02	6.71E-01
testosterone dehydrogenase [NAD(P)] activity (GO:0030283)	9	-	5.86E-02	6.72E-01
A2A adenosine receptor binding (GO:0031687)	3	-	5.86E-02	6.71E-01
ubiquitin-like protein conjugating enzyme binding (GO:0044390)	37	+	5.89E-02	6.73E-01
RNA transmembrane transporter activity (GO:0051033)	2	-	5.89E-02	6.71E-01
nucleic acid transmembrane transporter activity (GO:0051032)	2	-	5.89E-02	6.69E-01
lithium ion binding (GO:0031403)	2	+	5.89E-02	6.68E-01
ATPase inhibitor activity (GO:0042030)	5	-	5.90E-02	6.67E-01
cell adhesion mediator activity (GO:0098631)	57	-	5.91E-02	6.66E-01
latrotoxin receptor activity (GO:0016524)	2	+	5.91E-02	6.65E-01
inositol phosphate phosphatase activity (GO:0052745)	19	+	5.93E-02	6.65E-01
oligosaccharide binding (GO:0070492)	5	-	5.95E-02	6.66E-01
UFM1 transferase activity (GO:0071568)	2	-	5.98E-02	6.68E-01
tricarboxylic acid transmembrane transporter activity (GO:0015142)	4	-	6.00E-02	6.68E-01
citrate transmembrane transporter activity (GO:0015137)	4	-	6.00E-02	6.67E-01
peptide receptor activity (GO:0001653)	94	-	6.03E-02	6.69E-01
glycerol kinase activity (GO:0004370)	3	+	6.04E-02	6.68E-01
magnesium ion transmembrane transporter activity (GO:0015095)	15	+	6.07E-02	6.69E-01
alcohol-forming fatty acyl-CoA reductase activity (GO:0102965)	2	+	6.09E-02	6.70E-01
fatty-acyl-CoA reductase (alcohol-forming) activity (GO:0080019)	2	+	6.09E-02	6.69E-01
haptoglobin binding (GO:0031720)	6	-	6.14E-02	6.72E-01
secondary active sulfate transmembrane transporter activity (GO:0008271)	5	-	6.17E-02	6.74E-01
calcium-release channel activity (GO:0015278)	14	+	6.17E-02	6.73E-01
outward rectifier potassium channel activity (GO:0015271)	20	+	6.21E-02	6.76E-01
TPR domain binding (GO:0030911)	6	-	6.22E-02	6.75E-01
G protein-coupled amine receptor activity (GO:0008227)	31	-	6.23E-02	6.74E-01
endodeoxyribonuclease activity (GO:0004520)	30	+	6.23E-02	6.73E-01
ribonucleoside-diphosphate reductase activity (GO:0061731)	2	+	6.25E-02	6.74E-01
ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor (GO:0004748)	2	+	6.25E-02	6.72E-01
GABA-gated chloride ion channel activity (GO:0022851)	12	-	6.29E-02	6.75E-01
ornithine decarboxylase regulator activity (GO:0042979)	5	-	6.30E-02	6.75E-01
adenosine deaminase activity (GO:0004000)	11	+	6.31E-02	6.73E-01
folic acid receptor activity (GO:0061714)	2	-	6.33E-02	6.74E-01
rRNA (adenine-N6,N6-)-dimethyltransferase activity (GO:0000179)	4	+	6.34E-02	6.74E-01
ISG15 transferase activity (GO:0042296)	4	-	6.35E-02	6.74E-01
oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor (GO:0016899)	2	+	6.38E-02	6.75E-01
molybdenum ion binding (GO:0030151)	3	-	6.40E-02	6.76E-01
3-hydroxyacyl-CoA dehydrogenase activity (GO:0003857)	6	-	6.42E-02	6.76E-01
calcium-dependent protein binding (GO:0048306)	67	-	6.46E-02	6.79E-01
chemokine (C-C motif) ligand 5 binding (GO:0071791)	2	-	6.47E-02	6.79E-01
thyroid hormone binding (GO:0070324)	6	-	6.49E-02	6.79E-01
porin activity (GO:0015288)	5	+	6.50E-02	6.78E-01
N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity (GO:0050510)	4	-	6.51E-02	6.78E-01
single-stranded DNA endodeoxyribonuclease activity (GO:0000014)	10	+	6.53E-02	6.79E-01
myosin light chain kinase activity (GO:0004687)	3	+	6.54E-02	6.78E-01
ATP transmembrane transporter activity (GO:0005347)	11	+	6.65E-02	6.88E-01
transmembrane receptor protein tyrosine phosphatase activity (GO:0005001)	16	-	6.66E-02	6.88E-01
transmembrane receptor protein phosphatase activity (GO:0019198)	16	-	6.66E-02	6.86E-01
NAD(P)H oxidase H2O2-forming activity (GO:0016174)	6	+	6.68E-02	6.86E-01
immunoglobulin receptor activity (GO:0019763)	3	-	6.70E-02	6.87E-01
TAP2 binding (GO:0046979)	2	+	6.72E-02	6.88E-01
thioredoxin-disulfide reductase activity (GO:0004791)	7	-	6.76E-02	6.90E-01
palmitoyl-CoA oxidase activity (GO:0016401)	4	-	6.78E-02	6.91E-01
MHC protein complex binding (GO:0023023)	16	-	6.80E-02	6.91E-01
vasopressin receptor activity (GO:0005000)	3	-	6.82E-02	6.91E-01
titin Z domain binding (GO:0070080)	2	-	6.83E-02	6.91E-01
phosphatidylinositol-4-phosphate binding (GO:0070273)	23	+	6.85E-02	6.91E-01
oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water (GO:0016717)	9	-	6.86E-02	6.91E-01
catalytic activity, acting on a rRNA (GO:0140102)	22	+	6.89E-02	6.93E-01
alanine transmembrane transporter activity (GO:0022858)	12	+	6.91E-02	6.93E-01
transcription termination site sequence-specific DNA binding (GO:0001147)	2	+	6.91E-02	6.92E-01
long-chain fatty acid-CoA ligase activity (GO:0004467)	13	-	6.92E-02	6.91E-01
enzyme-substrate adaptor activity (GO:0140767)	33	+	6.93E-02	6.91E-01
C-X-C chemokine receptor activity (GO:0016494)	3	-	6.95E-02	6.92E-01
nuclease activity (GO:0004518)	168	+	6.98E-02	6.93E-01
chromatin-protein adaptor activity (GO:0140463)	6	+	7.08E-02	7.01E-01
C-acetyltransferase activity (GO:0016453)	7	-	7.08E-02	7.00E-01
vitamin transmembrane transporter activity (GO:0090482)	26	+	7.10E-02	7.00E-01
tau-protein kinase activity (GO:0050321)	21	+	7.16E-02	7.05E-01
tRNA-specific adenosine deaminase activity (GO:0008251)	7	+	7.20E-02	7.07E-01
Rho GDP-dissociation inhibitor binding (GO:0051022)	4	-	7.21E-02	7.06E-01
[phosphorylase] phosphatase activity (GO:0050196)	2	+	7.29E-02	7.13E-01
dopamine neurotransmitter receptor activity, coupled via Gi/Go (GO:0001591)	2	-	7.34E-02	7.16E-01
phosphotransferase activity, carboxyl group as acceptor (GO:0016774)	2	+	7.36E-02	7.17E-01
thyroxine 5-deiodinase activity (GO:0033798)	2	-	7.42E-02	7.21E-01
thyroxine 5'-deiodinase activity (GO:0004800)	2	-	7.42E-02	7.20E-01
protein-membrane adaptor activity (GO:0043495)	22	+	7.44E-02	7.20E-01
MHC class II protein complex binding (GO:0023026)	11	-	7.44E-02	7.18E-01
type I transforming growth factor beta receptor binding (GO:0034713)	9	-	7.45E-02	7.18E-01
rRNA (cytosine) methyltransferase activity (GO:0016434)	4	+	7.46E-02	7.18E-01
very-low-density lipoprotein particle binding (GO:0034189)	4	-	7.47E-02	7.17E-01
GDP-dissociation inhibitor binding (GO:0051021)	5	-	7.48E-02	7.16E-01
acid-ammonia (or amide) ligase activity (GO:0016880)	2	-	7.52E-02	7.19E-01
E-box binding (GO:0070888)	40	+	7.52E-02	7.18E-01
interferon binding (GO:0019961)	3	+	7.54E-02	7.18E-01
P-type manganese transporter activity (GO:0140613)	2	-	7.55E-02	7.17E-01
nuclear steroid receptor activity (GO:0003707)	19	+	7.56E-02	7.17E-01
IgG binding (GO:0019864)	7	-	7.58E-02	7.17E-01
interleukin-10 receptor activity (GO:0004920)	2	+	7.60E-02	7.18E-01
dopamine receptor binding (GO:0050780)	15	-	7.60E-02	7.17E-01
lipopolysaccharide immune receptor activity (GO:0001875)	5	-	7.60E-02	7.15E-01
arylesterase activity (GO:0004064)	4	-	7.61E-02	7.14E-01
I-SMAD binding (GO:0070411)	13	-	7.62E-02	7.14E-01
oxidoreductase activity, acting on a heme group of donors (GO:0016675)	15	+	7.62E-02	7.13E-01
sucrose transmembrane transporter activity (GO:0008515)	3	+	7.63E-02	7.12E-01
sucrose:proton symporter activity (GO:0008506)	3	+	7.63E-02	7.10E-01
oligosaccharide transmembrane transporter activity (GO:0015157)	3	+	7.63E-02	7.09E-01
disaccharide transmembrane transporter activity (GO:0015154)	3	+	7.63E-02	7.08E-01
sucrose:cation symporter activity (GO:0009669)	3	+	7.63E-02	7.06E-01
inositol hexakisphosphate 5-kinase activity (GO:0000832)	5	+	7.66E-02	7.08E-01
inositol heptakisphosphate kinase activity (GO:0000829)	5	+	7.66E-02	7.06E-01
inositol-1,3,4,5,6-pentakisphosphate kinase activity (GO:0000827)	5	+	7.66E-02	7.05E-01
glutathione disulfide oxidoreductase activity (GO:0015038)	5	+	7.79E-02	7.15E-01
NF-kappaB binding (GO:0051059)	31	+	7.82E-02	7.17E-01
ubiquinol-cytochrome-c reductase activity (GO:0008121)	5	+	7.85E-02	7.18E-01
adenyl deoxyribonucleotide binding (GO:0032558)	3	-	7.86E-02	7.17E-01
exopeptidase activity (GO:0008238)	71	+	7.88E-02	7.18E-01
N-acetyllactosaminide alpha-2,3-sialyltransferase activity (GO:0008118)	2	+	7.91E-02	7.19E-01
ubiquitin conjugating enzyme binding (GO:0031624)	31	+	7.93E-02	7.20E-01
3'-5'-exoribonuclease activity (GO:0000175)	35	+	7.97E-02	7.21E-01
RNA binding (GO:0003723)	1502	+	7.98E-02	7.21E-01
histone threonine kinase activity (GO:0035184)	6	+	8.00E-02	7.22E-01
glucuronosyltransferase activity (GO:0015020)	14	-	8.03E-02	7.23E-01
RAGE receptor binding (GO:0050786)	8	-	8.06E-02	7.24E-01
3-oxo-cerotoyl-CoA synthase activity (GO:0102337)	2	+	8.07E-02	7.24E-01
proteoglycan binding (GO:0043394)	29	-	8.11E-02	7.26E-01
RNA polymerase III cis-regulatory region sequence-specific DNA binding (GO:0000992)	7	+	8.11E-02	7.25E-01
RNA polymerase III type 3 promoter sequence-specific DNA binding (GO:0001006)	7	+	8.11E-02	7.23E-01
UDP-D-xylose:beta-D-glucoside alpha-1,3-D-xylosyltransferase activity (GO:0140563)	2	-	8.16E-02	7.27E-01
inositol hexakisphosphate kinase activity (GO:0000828)	8	+	8.17E-02	7.26E-01
oxidoreductase activity, acting on diphenols and related substances as donors (GO:0016679)	6	+	8.21E-02	7.28E-01
beta-1,3-galactosyltransferase activity (GO:0048531)	12	-	8.22E-02	7.28E-01
lactose synthase activity (GO:0004461)	3	-	8.34E-02	7.37E-01
dihydrolipoyl dehydrogenase activity (GO:0004148)	2	+	8.35E-02	7.36E-01
AMPA glutamate receptor activity (GO:0004971)	4	-	8.36E-02	7.35E-01
phenylethanolamine N-methyltransferase activity (GO:0004603)	1	-	8.36E-02	7.35E-01
structural constituent of synapse-associated extracellular matrix (GO:0150043)	1	+	8.36E-02	7.33E-01
aspartate N-acetyltransferase activity (GO:0017188)	1	+	8.37E-02	7.33E-01
FAD-AMP lyase (cyclizing) activity (GO:0034012)	1	-	8.39E-02	7.33E-01
triokinase activity (GO:0050354)	1	-	8.39E-02	7.31E-01
glycerone kinase activity (GO:0004371)	1	-	8.39E-02	7.30E-01
D-xylose 1-dehydrogenase (NADP+) activity (GO:0047837)	1	-	8.40E-02	7.30E-01
keratin filament binding (GO:1990254)	4	-	8.41E-02	7.29E-01
phosphatase regulator activity (GO:0019208)	103	-	8.41E-02	7.28E-01
protein sequestering activity (GO:0140311)	10	-	8.42E-02	7.27E-01
protein-cysteine S-stearoyltransferase activity (GO:0140439)	7	+	8.44E-02	7.28E-01
neolactotetraosylceramide alpha-2,3-sialyltransferase activity (GO:0004513)	2	+	8.46E-02	7.28E-01
voltage-gated sodium channel activity involved in Purkinje myocyte action potential (GO:0086062)	1	+	8.47E-02	7.27E-01
phosphoseryl-selenocysteinyl-tRNA selenium transferase activity (GO:0098621)	1	-	8.48E-02	7.27E-01
selenotransferase activity (GO:0016785)	1	-	8.48E-02	7.25E-01
cortisol dehydrogenase activity (GO:0102196)	1	+	8.51E-02	7.26E-01
7-beta-hydroxysteroid dehydrogenase (NADP+) activity (GO:0047022)	1	+	8.51E-02	7.25E-01
11-beta-hydroxysteroid dehydrogenase (NADP+) activity (GO:0070524)	1	+	8.51E-02	7.24E-01
beta-catenin destruction complex binding (GO:1904713)	2	+	8.52E-02	7.23E-01
kinesin binding (GO:0019894)	42	+	8.53E-02	7.23E-01
galactose binding (GO:0005534)	3	+	8.54E-02	7.23E-01
GDP-mannose hydrolase activity (GO:0052751)	1	+	8.60E-02	7.27E-01
activin receptor activity, type I (GO:0016361)	5	+	8.62E-02	7.27E-01
3,4-dihydrocoumarin hydrolase activity (GO:0018733)	1	-	8.67E-02	7.30E-01
aryldialkylphosphatase activity (GO:0004063)	1	-	8.67E-02	7.29E-01
IkappaB kinase complex binding (GO:0106137)	2	+	8.68E-02	7.28E-01
histone pre-mRNA stem-loop binding (GO:0071207)	2	-	8.69E-02	7.28E-01
ligand-gated calcium channel activity (GO:0099604)	22	+	8.73E-02	7.29E-01
ferritin receptor activity (GO:0070287)	1	-	8.73E-02	7.28E-01
dITP diphosphatase activity (GO:0035870)	2	+	8.73E-02	7.27E-01
rRNA (adenine) methyltransferase activity (GO:0016433)	8	+	8.75E-02	7.27E-01
nuclear glucocorticoid receptor activity (GO:0004883)	1	+	8.76E-02	7.26E-01
Rho-dependent protein serine/threonine kinase activity (GO:0072518)	2	+	8.76E-02	7.25E-01
hydroxypyruvate isomerase activity (GO:0008903)	1	-	8.79E-02	7.27E-01
serine-type endopeptidase inhibitor activity (GO:0004867)	52	-	8.79E-02	7.26E-01
transferase activity, transferring alkyl or aryl (other than methyl) groups (GO:0016765)	51	-	8.81E-02	7.25E-01
protein-L-histidine N-tele-methyltransferase activity (GO:0018064)	2	+	8.82E-02	7.26E-01
cell adhesive protein binding involved in AV node cell-bundle of His cell communication (GO:0086082)	1	-	8.84E-02	7.26E-01
neurotensin receptor activity, non-G protein-coupled (GO:0030379)	1	+	8.87E-02	7.27E-01
nerve growth factor receptor activity (GO:0010465)	1	+	8.87E-02	7.26E-01
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628)	24	-	8.91E-02	7.27E-01
benzodiazepine receptor activity (GO:0008503)	10	-	8.92E-02	7.27E-01
pyruvate secondary active transmembrane transporter activity (GO:0005477)	1	+	8.96E-02	7.29E-01
N-box binding (GO:0071820)	1	-	9.00E-02	7.31E-01
chromatin insulator sequence binding (GO:0043035)	4	+	9.01E-02	7.31E-01
carbohydrate derivative binding (GO:0097367)	1847	+	9.02E-02	7.30E-01
delayed rectifier potassium channel activity (GO:0005251)	24	+	9.03E-02	7.30E-01
phosphatidylinositol deacylase activity (GO:0050185)	1	-	9.03E-02	7.29E-01
MHC class Ib receptor activity (GO:0032394)	2	-	9.06E-02	7.29E-01
coenzyme A binding (GO:0120225)	2	-	9.06E-02	7.29E-01
glucose-1,6-bisphosphate synthase activity (GO:0047933)	1	-	9.09E-02	7.30E-01
protein C-terminus binding (GO:0008022)	174	+	9.09E-02	7.29E-01
excitatory extracellular ligand-gated ion channel activity (GO:0005231)	38	-	9.10E-02	7.28E-01
3',5'-nucleotide bisphosphate phosphatase activity (GO:0097657)	1	+	9.11E-02	7.27E-01
3'-nucleotidase activity (GO:0008254)	1	+	9.11E-02	7.26E-01
NAD-dependent protein biotinidase activity (GO:0106420)	1	+	9.20E-02	7.32E-01
NAD-dependent protein lipoamidase activity (GO:0106419)	1	+	9.20E-02	7.30E-01
lipoamidase activity (GO:0061690)	1	+	9.20E-02	7.29E-01
oligosaccharyl transferase activity (GO:0004576)	6	-	9.22E-02	7.29E-01
C-X-C motif chemokine 12 receptor activity (GO:0038147)	1	-	9.25E-02	7.31E-01
voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels (GO:0099626)	1	-	9.29E-02	7.33E-01
voltage-gated calcium channel activity involved in regulation of cytosolic calcium levels (GO:0099511)	1	-	9.29E-02	7.32E-01
RNA cap binding (GO:0000339)	17	+	9.29E-02	7.31E-01
growth hormone receptor activity (GO:0004903)	1	-	9.31E-02	7.31E-01
cyclin-dependent protein serine/threonine kinase activity (GO:0004693)	27	+	9.32E-02	7.30E-01
